op_code;num_inputs;group;cp_type
ba+*;;;AggregateBinary
tak+*;;;AggregateTernary
tack+*;;;AggregateTernary
uak+;;;AggregateUnary
uark+;;;AggregateUnary
uack+;;;AggregateUnary
uasqk+;;;AggregateUnary
uarsqk+;;;AggregateUnary
uacsqk+;;;AggregateUnary
uamean;;;AggregateUnary
uarmean;;;AggregateUnary
uacmean;;;AggregateUnary
uavar;;;AggregateUnary
uarvar;;;AggregateUnary
uacvar;;;AggregateUnary
uamax;;;AggregateUnary
uarmax;;;AggregateUnary
uarimax;;;AggregateUnary
uacmax;;;AggregateUnary
uamin;;;AggregateUnary
uarmin;;;AggregateUnary
uarimin;;;AggregateUnary
uacmin;;;AggregateUnary
ua+;;;AggregateUnary
uar+;;;AggregateUnary
uac+;;;AggregateUnary
ua*;;;AggregateUnary
uar*;;;AggregateUnary
uac*;;;AggregateUnary
uatrace;;;AggregateUnary
uaktrace;;;AggregateUnary
nrow;;;AggregateUnary
ncol;;;AggregateUnary
length;;;AggregateUnary
exists;;;AggregateUnary
lineage;;;AggregateUnary
uacd;;;AggregateUnary
uacdr;;;AggregateUnary
uacdc;;;AggregateUnary
uacdap;;;AggregateUnary
uacdapr;;;AggregateUnary
uacdapc;;;AggregateUnary
unique;;;AggregateUnary
uniquer;;;AggregateUnary
uniquec;;;AggregateUnary
uaggouterchain;;;UaggOuterChain
+;;Arithmetic;Binary
-;;Arithmetic;Binary
*;;Arithmetic;Binary
/;;Arithmetic;Binary
%%;;Arithmetic;Binary
%/%;;Arithmetic;Binary
^;;Arithmetic;Binary
1-*;;Arithmetic;Binary
^2;;Arithmetic;Binary
*2;;Arithmetic;Binary
-nz;;Arithmetic;Binary
&&;;Boolean;Binary
||;;Boolean;Binary
xor;;Boolean;Binary
bitwAnd;;Boolean;Binary
bitwOr;;Boolean;Binary
bitwXor;;Boolean;Binary
bitwShiftL;;Boolean;Binary
bitwShiftR;;Boolean;Binary
!;;Boolean;Unary
==;;Relational;Binary
!=;;Relational;Binary
<;;Relational;Binary
